,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class
898,F,0.55,0.415,0.135,0.8145,0.427,0.1855,0.175,negative
899,F,0.55,0.43,0.15,0.84,0.395,0.195,0.223,negative
900,M,0.55,0.425,0.15,0.8315,0.411,0.1765,0.2165,negative
901,M,0.56,0.445,0.16,0.8965,0.42,0.2175,0.2215,negative
902,F,0.56,0.44,0.155,0.6405,0.336,0.1765,0.245,negative
903,M,0.56,0.415,0.145,0.852,0.43,0.1885,0.205,negative
904,M,0.565,0.455,0.15,0.9595,0.4565,0.2395,0.23,negative
905,M,0.565,0.435,0.15,0.99,0.5795,0.1825,0.206,negative
906,F,0.565,0.45,0.175,1.0095,0.447,0.2375,0.2645,negative
907,M,0.57,0.46,0.15,1.0375,0.5415,0.2035,0.25,negative
908,F,0.57,0.445,0.145,0.8775,0.412,0.217,0.22,negative
909,I,0.57,0.44,0.15,0.755,0.3425,0.16,0.224,negative
910,F,0.575,0.45,0.16,1.068,0.556,0.214,0.2575,negative
911,M,0.575,0.435,0.14,0.8455,0.401,0.191,0.222,negative
912,M,0.575,0.455,0.135,0.907,0.4245,0.197,0.26,negative
913,I,0.575,0.435,0.13,0.805,0.3155,0.2155,0.245,negative
914,M,0.575,0.445,0.145,0.847,0.415,0.1945,0.22,negative
915,M,0.58,0.455,0.15,1.114,0.4765,0.2155,0.265,negative
916,M,0.58,0.45,0.14,0.9615,0.486,0.1815,0.253,negative
917,F,0.58,0.45,0.155,0.93,0.385,0.246,0.265,negative
918,M,0.585,0.46,0.145,0.9335,0.478,0.1825,0.235,negative
919,M,0.585,0.465,0.16,0.9555,0.4595,0.236,0.265,negative
920,F,0.6,0.475,0.16,1.0265,0.485,0.2495,0.2565,negative
921,M,0.6,0.455,0.17,1.1915,0.696,0.2395,0.24,negative
922,F,0.6,0.465,0.15,1.1025,0.5455,0.262,0.25,negative
923,F,0.605,0.47,0.165,1.1775,0.611,0.2275,0.292,negative
924,M,0.605,0.48,0.17,1.1835,0.582,0.2365,0.317,negative
925,F,0.605,0.475,0.165,1.056,0.433,0.2195,0.357,negative
926,M,0.61,0.485,0.16,1.0145,0.5315,0.212,0.2415,negative
927,M,0.61,0.485,0.145,1.3305,0.783,0.2255,0.2865,negative
928,F,0.615,0.465,0.15,0.923,0.4615,0.1825,0.2415,negative
929,M,0.62,0.47,0.135,1.0195,0.5315,0.2005,0.2475,negative
930,M,0.62,0.45,0.2,0.858,0.4285,0.1525,0.2405,negative
931,F,0.625,0.485,0.175,1.3745,0.7335,0.2715,0.332,negative
932,M,0.625,0.48,0.185,1.2065,0.587,0.29,0.286,negative
933,M,0.63,0.5,0.175,1.2645,0.5635,0.3065,0.3425,negative
934,F,0.635,0.495,0.015,1.1565,0.5115,0.308,0.2885,negative
935,M,0.64,0.515,0.165,1.369,0.632,0.3415,0.358,negative
936,M,0.645,0.53,0.195,1.39,0.6465,0.2945,0.3735,negative
937,F,0.645,0.48,0.17,1.1345,0.528,0.254,0.305,negative
938,F,0.65,0.5,0.19,1.464,0.6415,0.339,0.4245,negative
939,M,0.655,0.515,0.16,1.31,0.553,0.369,0.345,negative
940,F,0.655,0.51,0.175,1.415,0.5885,0.3725,0.364,negative
941,F,0.66,0.53,0.185,1.346,0.546,0.2705,0.476,negative
942,M,0.665,0.525,0.16,1.363,0.629,0.279,0.34,negative
943,I,0.665,0.5,0.17,1.2975,0.6035,0.291,0.3595,negative
944,F,0.67,0.505,0.205,1.3645,0.6075,0.3025,0.353,negative
945,F,0.685,0.54,0.215,1.7025,0.664,0.3655,0.4735,negative
946,M,0.685,0.52,0.165,1.519,0.699,0.3685,0.4,negative
947,F,0.69,0.54,0.155,1.454,0.624,0.3105,0.39,negative
948,F,0.69,0.53,0.17,1.5535,0.7945,0.3485,0.3695,negative
949,M,0.695,0.56,0.185,1.74,0.885,0.3715,0.4375,negative
950,F,0.7,0.525,0.19,1.6465,0.8545,0.307,0.3995,negative
951,F,0.705,0.55,0.17,1.219,0.6395,0.236,0.301,negative
952,F,0.71,0.56,0.18,1.652,0.735,0.381,0.4525,negative
953,M,0.715,0.535,0.19,1.6755,0.889,0.313,0.42,negative
954,F,0.72,0.58,0.195,2.103,1.0265,0.48,0.5375,negative
955,F,0.72,0.55,0.2,1.9965,0.9035,0.469,0.5215,negative
956,M,0.72,0.565,0.145,1.187,0.691,0.1945,0.2685,negative
957,M,0.725,0.505,0.185,1.978,1.026,0.4255,0.4505,negative
958,F,0.73,0.575,0.185,1.8795,0.931,0.38,0.4825,negative
959,M,0.735,0.585,0.185,2.124,0.952,0.55,0.5,negative
960,F,0.75,0.57,0.21,2.236,1.109,0.5195,0.545,negative
961,F,0.755,0.625,0.21,2.505,1.1965,0.513,0.6785,negative
962,M,0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595,negative
963,F,0.78,0.63,0.215,2.657,1.488,0.4985,0.586,negative
964,I,0.245,0.205,0.06,0.0765,0.034,0.014,0.0215,negative
965,I,0.25,0.19,0.065,0.0835,0.039,0.015,0.025,negative
966,I,0.275,0.195,0.09,0.1125,0.0545,0.0295,0.0355,negative
967,I,0.31,0.225,0.07,0.1055,0.435,0.015,0.04,negative
968,I,0.315,0.23,0.08,0.1375,0.0545,0.031,0.0445,negative
969,I,0.315,0.23,0.07,0.1145,0.046,0.0235,0.0385,negative
970,I,0.325,0.225,0.075,0.139,0.0565,0.032,0.09,negative
971,I,0.33,0.25,0.095,0.2085,0.102,0.0395,0.052,negative
972,I,0.33,0.205,0.095,0.1595,0.077,0.032,0.0435,negative
973,I,0.345,0.255,0.095,0.1945,0.0925,0.037,0.055,negative
974,I,0.35,0.27,0.075,0.215,0.1,0.036,0.065,negative
975,I,0.36,0.27,0.085,0.196,0.0875,0.035,0.064,negative
976,I,0.365,0.27,0.085,0.1875,0.081,0.042,0.058,negative
977,I,0.365,0.27,0.085,0.196,0.0825,0.0375,0.06,negative
978,I,0.365,0.265,0.085,0.213,0.0945,0.049,0.06,negative
979,I,0.37,0.29,0.09,0.2445,0.089,0.0655,0.075,negative
980,I,0.37,0.28,0.085,0.217,0.1095,0.035,0.062,negative
981,I,0.375,0.29,0.095,0.213,0.096,0.041,0.061,negative
982,I,0.375,0.29,0.085,0.2385,0.118,0.045,0.0695,negative
983,I,0.375,0.275,0.095,0.2465,0.11,0.0415,0.0775,negative
984,I,0.375,0.28,0.08,0.2025,0.0825,0.048,0.065,negative
985,I,0.375,0.27,0.085,0.218,0.0945,0.039,0.07,negative
986,I,0.38,0.275,0.11,0.256,0.11,0.0535,0.0755,negative
987,I,0.385,0.29,0.09,0.2615,0.111,0.0595,0.0745,negative
988,I,0.385,0.28,0.085,0.2175,0.097,0.038,0.067,negative
989,I,0.385,0.3,0.095,0.302,0.152,0.0615,0.0735,negative
990,I,0.385,0.28,0.09,0.228,0.1025,0.042,0.0655,negative
991,I,0.39,0.3,0.095,0.3265,0.1665,0.0575,0.089,negative
992,I,0.395,0.295,0.095,0.2725,0.115,0.0625,0.085,negative
993,I,0.395,0.27,0.1,0.2985,0.1445,0.061,0.082,negative
994,I,0.4,0.29,0.1,0.2675,0.1205,0.0605,0.0765,negative
995,I,0.405,0.285,0.09,0.2645,0.1265,0.0505,0.075,negative
996,I,0.41,0.335,0.11,0.33,0.157,0.0705,0.17,negative
997,I,0.425,0.32,0.1,0.3055,0.126,0.06,0.106,negative
998,I,0.425,0.31,0.09,0.301,0.1385,0.065,0.08,negative
999,I,0.43,0.34,0.0,0.428,0.2065,0.086,0.115,negative
1000,I,0.43,0.315,0.095,0.378,0.175,0.08,0.1045,negative
1001,I,0.435,0.315,0.11,0.3685,0.1615,0.0715,0.12,negative
1002,I,0.44,0.34,0.12,0.438,0.2115,0.083,0.12,negative
1003,I,0.45,0.33,0.105,0.448,0.208,0.089,0.12,negative
1004,I,0.455,0.33,0.1,0.372,0.358,0.0775,0.11,negative
1005,I,0.46,0.36,0.105,0.466,0.2225,0.099,0.11,negative
1006,I,0.46,0.35,0.105,0.3705,0.1575,0.077,0.114,negative
1007,F,0.46,0.365,0.125,0.4785,0.206,0.1045,0.141,negative
1008,I,0.465,0.34,0.11,0.346,0.1425,0.073,0.113,negative
1009,I,0.47,0.365,0.1,0.411,0.175,0.0855,0.135,negative
1010,I,0.475,0.355,0.1,0.5035,0.2535,0.091,0.14,negative
1011,I,0.475,0.36,0.11,0.492,0.211,0.11,0.15,negative
1012,I,0.48,0.37,0.125,0.5435,0.244,0.101,0.165,negative
1013,I,0.48,0.355,0.115,0.4725,0.2065,0.112,0.132,negative
1014,I,0.48,0.365,0.1,0.461,0.2205,0.0835,0.135,negative
1015,I,0.495,0.355,0.12,0.4965,0.214,0.1045,0.1495,negative
1016,I,0.495,0.38,0.13,0.5125,0.2185,0.116,0.16,negative
1017,M,0.495,0.395,0.12,0.553,0.224,0.1375,0.167,negative
1018,I,0.5,0.38,0.135,0.594,0.2945,0.104,0.1565,negative
1019,I,0.5,0.375,0.145,0.5795,0.239,0.1375,0.185,negative
1020,I,0.5,0.41,0.14,0.6615,0.2585,0.1625,0.196,negative
1021,I,0.5,0.375,0.125,0.5695,0.259,0.124,0.157,negative
1022,I,0.5,0.395,0.14,0.6215,0.2925,0.1205,0.195,negative
1023,I,0.505,0.405,0.13,0.6015,0.3015,0.11,0.18,negative
1024,I,0.505,0.395,0.105,0.551,0.248,0.103,0.171,negative
1025,I,0.515,0.42,0.135,0.711,0.337,0.144,0.205,negative
1026,I,0.515,0.4,0.135,0.6965,0.32,0.1255,0.175,negative
1027,I,0.52,0.395,0.125,0.663,0.3005,0.131,0.1905,negative
1028,I,0.525,0.4,0.125,0.6965,0.369,0.1385,0.164,negative
1029,M,0.525,0.42,0.155,0.842,0.428,0.1415,0.2045,negative
1030,I,0.53,0.415,0.13,0.694,0.3905,0.111,0.167,negative
1031,I,0.53,0.415,0.11,0.5745,0.2525,0.1235,0.189,negative
1032,I,0.53,0.425,0.13,0.7675,0.419,0.1205,0.21,negative
1033,I,0.535,0.415,0.15,0.5765,0.3595,0.135,0.225,negative
1034,F,0.535,0.41,0.13,0.7145,0.335,0.144,0.2075,negative
1035,F,0.54,0.42,0.145,0.8655,0.4315,0.163,0.2175,negative
1036,I,0.545,0.435,0.135,0.7715,0.372,0.148,0.227,negative
1037,F,0.545,0.445,0.15,0.8,0.3535,0.163,0.207,negative
1038,I,0.545,0.405,0.135,0.5945,0.27,0.1185,0.185,negative
1039,I,0.55,0.43,0.145,0.7895,0.3745,0.171,0.223,negative
1040,F,0.55,0.405,0.125,0.651,0.2965,0.137,0.2,negative
1041,M,0.55,0.43,0.15,0.8745,0.413,0.1905,0.248,negative
1042,I,0.55,0.435,0.14,0.7535,0.3285,0.1555,0.2325,negative
1043,I,0.55,0.425,0.135,0.7305,0.3325,0.1545,0.215,negative
1044,M,0.555,0.44,0.14,0.8705,0.407,0.156,0.255,negative
1045,I,0.555,0.43,0.14,0.7665,0.341,0.165,0.23,negative
1046,I,0.555,0.425,0.145,0.7905,0.3485,0.1765,0.225,negative
1047,I,0.56,0.425,0.135,0.8205,0.3715,0.185,0.236,negative
1048,I,0.56,0.425,0.145,0.688,0.3095,0.1305,0.2165,negative
1049,I,0.56,0.455,0.145,0.974,0.547,0.1615,0.235,negative
1050,I,0.565,0.44,0.175,0.8735,0.414,0.21,0.21,negative
1051,M,0.565,0.39,0.125,0.744,0.352,0.13,0.1685,negative
1052,I,0.57,0.45,0.145,0.751,0.2825,0.2195,0.2215,negative
1053,M,0.57,0.435,0.17,0.873,0.382,0.183,0.2705,negative
1054,I,0.57,0.44,0.13,0.7665,0.347,0.1785,0.202,negative
1055,M,0.57,0.435,0.125,0.8965,0.383,0.1835,0.275,negative
1056,F,0.575,0.48,0.165,1.078,0.511,0.2095,0.306,negative
1057,M,0.575,0.46,0.155,0.892,0.4415,0.176,0.22,negative
1058,M,0.58,0.46,0.155,1.4395,0.6715,0.273,0.2955,negative
1059,M,0.58,0.455,0.135,0.7955,0.405,0.167,0.204,negative
1060,F,0.58,0.445,0.15,0.858,0.4,0.156,0.253,negative
1061,M,0.585,0.465,0.155,0.9145,0.4555,0.1965,0.235,negative
1062,M,0.585,0.49,0.185,1.171,0.522,0.2535,0.335,negative
1063,I,0.585,0.475,0.16,1.0505,0.48,0.234,0.285,negative
1064,M,0.585,0.475,0.15,1.065,0.5315,0.199,0.2885,negative
1065,M,0.59,0.455,0.155,0.8855,0.388,0.188,0.275,negative
1066,F,0.595,0.465,0.15,0.98,0.4115,0.196,0.2255,negative
1067,F,0.595,0.465,0.155,1.026,0.4645,0.112,0.305,negative
1068,M,0.6,0.48,0.155,1.014,0.451,0.1885,0.325,negative
1069,I,0.6,0.475,0.15,1.12,0.565,0.2465,0.27,negative
1070,M,0.6,0.46,0.155,0.9595,0.4455,0.189,0.295,negative
1071,I,0.605,0.485,0.15,1.238,0.6315,0.226,0.33,negative
1072,M,0.605,0.49,0.14,0.9755,0.419,0.206,0.315,negative
1073,I,0.605,0.435,0.13,0.9025,0.432,0.174,0.26,negative
1074,F,0.605,0.475,0.175,1.076,0.463,0.2195,0.335,negative
1075,F,0.605,0.47,0.16,1.0835,0.5405,0.2215,0.275,negative
1076,M,0.61,0.45,0.15,0.871,0.407,0.1835,0.25,negative
1077,M,0.61,0.48,0.165,1.244,0.6345,0.257,0.305,negative
1078,M,0.61,0.475,0.17,1.0265,0.435,0.2335,0.3035,negative
1079,I,0.61,0.465,0.15,0.9605,0.4495,0.1725,0.286,negative
1080,M,0.61,0.48,0.17,1.137,0.4565,0.29,0.347,negative
1081,M,0.61,0.46,0.16,1.0,0.494,0.197,0.275,negative
1082,F,0.615,0.475,0.155,1.004,0.4475,0.193,0.2895,negative
1083,M,0.615,0.47,0.165,1.128,0.4465,0.2195,0.34,negative
1084,M,0.615,0.5,0.17,1.054,0.4845,0.228,0.295,negative
1085,M,0.615,0.475,0.17,1.129,0.4795,0.302,0.3,negative
1086,M,0.615,0.48,0.175,1.118,0.446,0.3195,0.3,negative
1087,M,0.62,0.51,0.175,1.2815,0.5715,0.2385,0.39,negative
1088,M,0.62,0.495,0.18,1.2555,0.5765,0.254,0.355,negative
1089,F,0.62,0.5,0.15,1.293,0.596,0.3135,0.354,negative
1090,F,0.62,0.475,0.16,1.1295,0.463,0.2685,0.33,negative
1091,M,0.625,0.455,0.17,1.082,0.4955,0.2345,0.315,negative
1092,F,0.625,0.505,0.175,1.15,0.5475,0.256,0.3045,negative
1093,I,0.63,0.505,0.18,1.272,0.6025,0.295,0.315,negative
1094,M,0.63,0.485,0.145,1.062,0.5065,0.1785,0.3365,negative
1095,I,0.63,0.475,0.145,1.0605,0.5165,0.2195,0.28,negative
1096,M,0.63,0.495,0.16,1.093,0.497,0.221,0.315,negative
1097,M,0.635,0.475,0.17,1.1935,0.5205,0.2695,0.3665,negative
1098,M,0.64,0.565,0.23,1.521,0.644,0.372,0.406,negative
1099,M,0.64,0.525,0.18,1.3135,0.4865,0.2995,0.4075,negative
1100,M,0.645,0.51,0.16,1.1835,0.556,0.2385,0.345,negative
1101,M,0.645,0.5,0.195,1.401,0.6165,0.3515,0.3725,negative
1102,M,0.645,0.525,0.16,1.5075,0.7455,0.245,0.4325,negative
1103,F,0.65,0.59,0.22,1.662,0.77,0.378,0.435,negative
1104,M,0.65,0.525,0.175,1.5365,0.6865,0.3585,0.405,negative
1105,M,0.65,0.51,0.19,1.542,0.7155,0.3735,0.375,negative
1106,F,0.655,0.525,0.19,1.3595,0.564,0.3215,0.3985,negative
1107,M,0.655,0.535,0.205,1.6445,0.7305,0.3595,0.46,negative
1108,F,0.655,0.52,0.19,1.4545,0.6,0.3865,0.383,negative
1109,M,0.655,0.49,0.175,1.3585,0.6395,0.294,0.365,negative
1110,F,0.66,0.495,0.21,1.548,0.724,0.3525,0.3925,negative
1111,F,0.66,0.515,0.17,1.337,0.615,0.3125,0.3575,negative
1112,F,0.665,0.53,0.18,1.491,0.6345,0.342,0.435,negative
1113,F,0.67,0.53,0.225,1.5615,0.63,0.487,0.3725,negative
1114,F,0.67,0.505,0.175,1.0145,0.4375,0.271,0.3745,negative
1115,M,0.685,0.545,0.205,1.7925,0.8145,0.416,0.461,negative
1116,M,0.705,0.565,0.515,2.21,1.1075,0.4865,0.512,negative
1117,F,0.705,0.57,0.18,1.5345,0.96,0.4195,0.43,negative
1118,F,0.71,0.55,0.17,1.614,0.743,0.345,0.45,negative
1119,F,0.725,0.6,0.2,1.737,0.697,0.3585,0.595,negative
1120,F,0.73,0.58,0.19,1.7375,0.6785,0.4345,0.52,negative
1121,F,0.735,0.565,0.205,2.1275,0.949,0.46,0.565,negative
1122,F,0.745,0.57,0.215,2.25,1.1565,0.446,0.558,negative
1123,F,0.75,0.61,0.235,2.5085,1.232,0.519,0.612,negative
1124,I,0.23,0.165,0.06,0.0515,0.019,0.0145,0.036,negative
1125,I,0.365,0.265,0.135,0.2215,0.105,0.047,0.0605,negative
1126,I,0.365,0.255,0.08,0.1985,0.0785,0.0345,0.053,negative
1127,I,0.37,0.27,0.095,0.232,0.1325,0.041,0.0615,negative
1128,I,0.375,0.28,0.085,0.3155,0.187,0.046,0.067,negative
1129,I,0.385,0.3,0.09,0.247,0.1225,0.044,0.0675,negative
1130,I,0.395,0.295,0.09,0.3025,0.143,0.0665,0.0765,negative
1131,I,0.405,0.31,0.095,0.3425,0.1785,0.064,0.0855,negative
1132,I,0.405,0.29,0.09,0.2825,0.112,0.075,0.0815,negative
1133,I,0.405,0.3,0.105,0.304,0.1455,0.061,0.0805,negative
1134,I,0.41,0.32,0.095,0.2905,0.141,0.063,0.073,negative
1135,M,0.415,0.315,0.115,0.3895,0.2015,0.065,0.103,negative
1136,I,0.425,0.34,0.105,0.389,0.2015,0.0905,0.088,negative
1137,I,0.44,0.34,0.105,0.369,0.164,0.08,0.1015,negative
1138,M,0.44,0.32,0.12,0.4565,0.2435,0.092,0.1025,negative
1139,M,0.45,0.335,0.125,0.4475,0.2165,0.126,0.11,negative
1140,I,0.46,0.355,0.11,0.436,0.1975,0.096,0.125,negative
1141,I,0.47,0.345,0.14,0.4615,0.229,0.1105,0.116,negative
1142,I,0.47,0.35,0.125,0.4315,0.19,0.1165,0.1175,negative
1143,I,0.47,0.355,0.12,0.3685,0.126,0.0835,0.1365,negative
1144,M,0.475,0.37,0.125,0.649,0.347,0.136,0.142,negative
1145,I,0.48,0.36,0.125,0.542,0.2795,0.1025,0.147,negative
1146,M,0.485,0.39,0.085,0.6435,0.2945,0.103,0.198,negative
1147,F,0.495,0.38,0.12,0.573,0.2655,0.1285,0.144,negative
1148,M,0.505,0.385,0.105,0.5525,0.239,0.1245,0.1555,negative
1149,I,0.515,0.395,0.125,0.556,0.2695,0.096,0.17,negative
1150,M,0.515,0.425,0.145,0.9365,0.497,0.181,0.2185,negative
1151,I,0.515,0.4,0.125,0.5625,0.25,0.1245,0.17,negative
1152,M,0.52,0.4,0.125,0.559,0.254,0.139,0.149,negative
1153,M,0.525,0.4,0.14,0.7205,0.3685,0.145,0.1735,negative
1154,I,0.53,0.43,0.13,0.7045,0.346,0.1415,0.189,negative
1155,F,0.55,0.43,0.14,0.84,0.375,0.218,0.1945,negative
1156,M,0.55,0.425,0.16,0.793,0.343,0.2035,0.215,negative
1157,F,0.56,0.43,0.15,0.8745,0.453,0.161,0.22,negative
1158,F,0.56,0.435,0.15,0.8715,0.4755,0.1835,0.1835,negative
1159,M,0.57,0.445,0.15,0.9875,0.504,0.207,0.249,negative
1160,M,0.575,0.465,0.15,1.08,0.595,0.2065,0.238,negative
1161,M,0.575,0.46,0.165,0.9155,0.4005,0.2465,0.2385,negative
1162,F,0.58,0.46,0.175,1.165,0.65,0.2205,0.3055,negative
1163,F,0.58,0.435,0.14,0.953,0.475,0.2165,0.2095,negative
1164,M,0.59,0.44,0.15,0.8725,0.387,0.215,0.245,negative
1165,F,0.59,0.465,0.15,1.151,0.613,0.239,0.2515,negative
1166,F,0.59,0.46,0.145,0.9905,0.453,0.2205,0.275,negative
1167,F,0.595,0.455,0.16,1.04,0.452,0.2655,0.288,negative
1168,M,0.6,0.455,0.155,0.945,0.4365,0.2085,0.25,negative
1169,M,0.6,0.465,0.2,1.259,0.6405,0.1985,0.357,negative
1170,F,0.605,0.485,0.165,0.9515,0.4535,0.193,0.2765,negative
1171,F,0.605,0.485,0.16,1.201,0.417,0.2875,0.38,negative
1172,F,0.605,0.515,0.17,1.289,0.6,0.2945,0.3315,negative
1173,I,0.615,0.475,0.13,0.8425,0.353,0.1915,0.251,negative
1174,M,0.62,0.485,0.155,1.049,0.462,0.231,0.25,negative
1175,F,0.62,0.435,0.155,1.012,0.477,0.236,0.275,negative
1176,M,0.625,0.52,0.175,1.4105,0.691,0.322,0.3465,negative
1177,M,0.625,0.47,0.18,1.136,0.451,0.3245,0.305,negative
1178,M,0.63,0.47,0.145,1.1005,0.52,0.26,0.276,negative
1179,F,0.63,0.5,0.175,1.1105,0.467,0.268,0.329,negative
1180,M,0.63,0.455,0.15,1.1315,0.481,0.2745,0.305,negative
1181,M,0.63,0.48,0.15,1.271,0.6605,0.2425,0.31,negative
1182,F,0.635,0.505,0.145,1.1345,0.505,0.2655,0.315,negative
1183,M,0.635,0.51,0.185,1.308,0.544,0.318,0.377,negative
1184,F,0.645,0.505,0.165,1.318,0.55,0.3015,0.335,negative
1185,M,0.65,0.515,0.175,1.466,0.677,0.3045,0.4,negative
1186,F,0.65,0.5,0.16,1.3825,0.702,0.304,0.3195,negative
1187,M,0.65,0.485,0.14,1.175,0.475,0.2435,0.215,negative
1188,F,0.655,0.54,0.215,1.5555,0.695,0.296,0.444,negative
1189,M,0.655,0.51,0.215,1.7835,0.8885,0.4095,0.4195,negative
1190,M,0.66,0.505,0.165,1.374,0.589,0.351,0.345,negative
1191,F,0.665,0.515,0.18,1.389,0.5945,0.324,0.395,negative
1192,M,0.67,0.545,0.2,1.7025,0.833,0.374,0.41,negative
1193,M,0.67,0.51,0.175,1.5265,0.651,0.4475,0.345,negative
1194,M,0.67,0.5,0.19,1.519,0.616,0.388,0.415,negative
1195,F,0.68,0.5,0.185,1.741,0.7665,0.3255,0.4685,negative
1196,M,0.68,0.515,0.17,1.6115,0.8415,0.306,0.395,negative
1197,F,0.7,0.55,0.17,1.684,0.7535,0.3265,0.32,negative
1198,M,0.7,0.555,0.2,1.858,0.73,0.3665,0.595,negative
1199,M,0.705,0.56,0.165,1.675,0.797,0.4095,0.388,negative
1200,M,0.72,0.565,0.2,2.1055,1.017,0.363,0.494,negative
1201,M,0.725,0.575,0.24,2.21,1.351,0.413,0.5015,negative
1202,M,0.74,0.57,0.18,1.8725,0.9115,0.427,0.446,negative
1203,M,0.75,0.55,0.18,1.893,0.942,0.397,0.445,negative
1204,I,0.21,0.17,0.045,0.0475,0.019,0.011,0.013,negative
1205,I,0.285,0.21,0.055,0.101,0.0415,0.017,0.0335,negative
1206,I,0.295,0.215,0.07,0.121,0.047,0.0155,0.0405,negative
1207,I,0.3,0.23,0.085,0.117,0.05,0.0175,0.0415,negative
1208,I,0.305,0.225,0.09,0.1465,0.063,0.034,0.0415,negative
1209,I,0.335,0.255,0.08,0.168,0.079,0.0355,0.05,negative
1210,I,0.35,0.26,0.075,0.18,0.09,0.0245,0.055,negative
1211,I,0.355,0.27,0.075,0.1775,0.079,0.0315,0.054,negative
1212,I,0.355,0.26,0.09,0.1985,0.0715,0.0495,0.058,negative
1213,I,0.36,0.27,0.095,0.2,0.073,0.056,0.061,negative
1214,I,0.36,0.275,0.075,0.2205,0.0985,0.044,0.066,negative
1215,I,0.365,0.27,0.085,0.2225,0.0935,0.0525,0.066,negative
1216,I,0.37,0.27,0.095,0.2175,0.097,0.046,0.065,negative
1217,I,0.38,0.285,0.095,0.243,0.0895,0.0665,0.075,negative
1218,I,0.38,0.29,0.1,0.237,0.108,0.0395,0.082,negative
1219,I,0.385,0.29,0.09,0.2365,0.1,0.0505,0.076,negative
1220,I,0.385,0.28,0.095,0.257,0.119,0.059,0.07,negative
1221,I,0.385,0.3,0.09,0.308,0.1525,0.056,0.0835,negative
1222,I,0.39,0.3,0.09,0.252,0.1065,0.053,0.08,negative
1223,I,0.39,0.285,0.1,0.281,0.1275,0.062,0.077,negative
1224,I,0.39,0.29,0.1,0.2225,0.095,0.0465,0.073,negative
1225,I,0.41,0.3,0.09,0.304,0.129,0.071,0.0955,negative
1226,I,0.41,0.3,0.09,0.28,0.141,0.0575,0.075,negative
1227,I,0.415,0.325,0.1,0.313,0.139,0.0625,0.0965,negative
1228,I,0.425,0.315,0.08,0.303,0.131,0.0585,0.095,negative
1229,I,0.435,0.335,0.1,0.3295,0.129,0.07,0.11,negative
1230,I,0.435,0.325,0.11,0.367,0.1595,0.08,0.105,negative
1231,I,0.45,0.34,0.095,0.3245,0.1385,0.064,0.105,negative
1232,I,0.45,0.335,0.11,0.4195,0.181,0.085,0.1345,negative
1233,I,0.455,0.36,0.115,0.457,0.2085,0.0855,0.147,negative
1234,I,0.46,0.35,0.11,0.4,0.176,0.083,0.1205,negative
1235,I,0.46,0.355,0.11,0.4255,0.2015,0.081,0.13,negative
1236,I,0.465,0.37,0.12,0.4365,0.188,0.0815,0.147,negative
1237,I,0.465,0.345,0.11,0.393,0.1825,0.0735,0.12,negative
1238,I,0.47,0.355,0.125,0.499,0.21,0.0985,0.155,negative
1239,I,0.475,0.36,0.145,0.6325,0.2825,0.137,0.19,negative
1240,M,0.475,0.36,0.1,0.4285,0.1965,0.099,0.112,negative
1241,I,0.475,0.36,0.125,0.4905,0.205,0.1305,0.125,negative
1242,I,0.48,0.37,0.125,0.474,0.179,0.1035,0.175,negative
1243,I,0.48,0.37,0.12,0.536,0.251,0.114,0.15,negative
1244,M,0.48,0.355,0.16,0.464,0.221,0.106,0.239,negative
1245,I,0.485,0.375,0.13,0.6025,0.2935,0.1285,0.16,negative
1246,I,0.49,0.375,0.115,0.4615,0.204,0.0945,0.143,negative
1247,I,0.49,0.4,0.135,0.624,0.3035,0.1285,0.169,negative
1248,I,0.495,0.37,0.125,0.4715,0.2075,0.091,0.15,negative
1249,I,0.495,0.4,0.105,0.602,0.2505,0.1265,0.19,negative
1250,I,0.5,0.4,0.12,0.616,0.261,0.143,0.1935,negative
1251,I,0.5,0.375,0.14,0.559,0.2375,0.135,0.169,negative
1252,I,0.51,0.395,0.13,0.6025,0.281,0.143,0.162,negative
1253,F,0.515,0.375,0.11,0.6065,0.3005,0.131,0.15,negative
1254,I,0.515,0.36,0.125,0.4725,0.1815,0.125,0.138,negative
1255,I,0.515,0.35,0.105,0.4745,0.213,0.123,0.1275,negative
1256,I,0.515,0.395,0.125,0.6635,0.32,0.14,0.17,negative
1257,I,0.515,0.39,0.125,0.5705,0.238,0.1265,0.185,negative
1258,I,0.52,0.39,0.13,0.5545,0.2355,0.1095,0.1895,negative
1259,I,0.525,0.39,0.12,0.664,0.3115,0.147,0.178,negative
1260,I,0.525,0.38,0.135,0.615,0.261,0.159,0.175,negative
1261,I,0.525,0.4,0.14,0.654,0.305,0.16,0.169,negative
1262,M,0.525,0.4,0.155,0.707,0.282,0.1605,0.225,negative
1263,I,0.53,0.43,0.135,0.6255,0.245,0.1455,0.2135,negative
1264,I,0.53,0.4,0.145,0.555,0.1935,0.1305,0.195,negative
1265,I,0.53,0.42,0.13,0.8365,0.3745,0.167,0.249,negative
1266,I,0.535,0.4,0.13,0.657,0.2835,0.162,0.175,negative
1267,I,0.54,0.43,0.17,0.836,0.3725,0.1815,0.24,negative
1268,I,0.54,0.43,0.14,0.8195,0.3935,0.1725,0.2295,negative
1269,M,0.54,0.455,0.14,0.972,0.419,0.255,0.269,negative
