,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,result
3645,1,0.43,0.34,0.105,0.4405,0.2385,0.0745,0.1075,0
1297,2,0.575,0.445,0.16,0.839,0.4005,0.198,0.239,0
1895,0,0.58,0.46,0.185,1.017,0.3515,0.2,0.32,0
1058,2,0.58,0.46,0.155,1.4395,0.6715,0.273,0.2955,0
293,0,0.59,0.465,0.15,0.997,0.392,0.246,0.34,0
1543,0,0.645,0.51,0.18,1.6195,0.7815,0.322,0.4675,0
797,2,0.57,0.445,0.14,1.0635,0.5265,0.2195,0.24,0
600,2,0.53,0.415,0.13,0.8425,0.275,0.1945,0.265,0
2024,1,0.46,0.345,0.12,0.4155,0.198,0.0885,0.107,0
2390,1,0.455,0.355,0.105,0.372,0.138,0.0765,0.135,0
3295,1,0.46,0.365,0.11,0.4495,0.1755,0.102,0.15,0
371,0,0.68,0.55,0.21,1.7445,0.5975,0.305,0.625,0
2726,0,0.49,0.37,0.105,0.5265,0.249,0.1005,0.148,0
3883,0,0.55,0.425,0.125,0.964,0.5475,0.159,0.215,0
861,1,0.42,0.3,0.105,0.316,0.1255,0.07,0.1035,0
826,2,0.645,0.52,0.175,1.636,0.779,0.342,0.432,0
2750,2,0.48,0.37,0.13,0.643,0.349,0.1155,0.135,0
564,2,0.385,0.285,0.105,0.2905,0.1215,0.0685,0.0875,0
1499,2,0.57,0.44,0.175,0.9415,0.3805,0.2285,0.283,0
3660,0,0.645,0.515,0.175,1.546,0.7035,0.365,0.415,0
3504,0,0.635,0.5,0.15,1.376,0.6495,0.361,0.31,0
3710,0,0.49,0.355,0.16,0.8795,0.3485,0.215,0.2825,0
1478,1,0.525,0.4,0.145,0.6095,0.248,0.159,0.175,0
4153,0,0.69,0.535,0.185,1.826,0.797,0.409,0.499,0
486,2,0.35,0.265,0.09,0.1775,0.0575,0.042,0.068,0
2347,0,0.67,0.525,0.19,1.527,0.5755,0.353,0.44,0
2633,1,0.41,0.3,0.115,0.2595,0.097,0.0515,0.08,0
2924,1,0.55,0.45,0.14,0.753,0.3445,0.1325,0.24,0
754,0,0.445,0.335,0.11,0.4355,0.2025,0.1095,0.1195,0
907,2,0.57,0.46,0.15,1.0375,0.5415,0.2035,0.25,0
2272,2,0.74,0.595,0.19,2.3235,1.1495,0.5115,0.505,0
2889,2,0.62,0.46,0.16,0.9505,0.4915,0.2,0.228,0
1095,1,0.63,0.475,0.145,1.0605,0.5165,0.2195,0.28,0
133,0,0.53,0.395,0.145,0.775,0.308,0.169,0.255,0
3759,1,0.35,0.235,0.08,0.17,0.0725,0.0465,0.0495,0
2807,0,0.69,0.525,0.19,1.492,0.6425,0.3905,0.42,0
4141,1,0.475,0.35,0.12,0.4905,0.2035,0.13,0.135,0
3544,1,0.2,0.155,0.04,0.0435,0.0155,0.009,0.007,0
2203,2,0.59,0.475,0.14,0.977,0.4625,0.2025,0.275,0
171,2,0.45,0.35,0.13,0.46,0.174,0.111,0.135,0
1991,0,0.6,0.475,0.135,1.4405,0.5885,0.191,0.3175,0
3288,0,0.605,0.465,0.155,1.1,0.547,0.2665,0.2585,0
3399,1,0.355,0.275,0.09,0.251,0.097,0.053,0.08,0
535,0,0.395,0.295,0.095,0.2245,0.078,0.054,0.08,0
3525,0,0.55,0.445,0.155,0.9905,0.544,0.178,0.218,0
3048,2,0.465,0.355,0.12,0.5315,0.2725,0.097,0.1395,0
3654,0,0.545,0.41,0.14,0.7405,0.3565,0.1775,0.203,0
2616,0,0.58,0.475,0.165,1.0385,0.414,0.26,0.305,0
1845,2,0.655,0.485,0.195,1.62,0.6275,0.358,0.485,0
3808,0,0.535,0.46,0.145,0.7875,0.3395,0.2005,0.2,0
2536,2,0.72,0.575,0.23,2.2695,0.8835,0.3985,0.665,0
990,1,0.385,0.28,0.09,0.228,0.1025,0.042,0.0655,0
721,1,0.24,0.175,0.055,0.0705,0.025,0.014,0.021,0
1205,1,0.285,0.21,0.055,0.101,0.0415,0.017,0.0335,0
2877,1,0.455,0.37,0.11,0.514,0.2385,0.1235,0.126,0
883,1,0.5,0.38,0.125,0.519,0.2485,0.1135,0.134,0
3725,1,0.495,0.38,0.145,0.5,0.205,0.148,0.1505,0
3811,2,0.465,0.36,0.13,0.5265,0.2105,0.1185,0.165,0
899,0,0.55,0.43,0.15,0.84,0.395,0.195,0.223,0
1918,0,0.66,0.515,0.18,1.523,0.54,0.3365,0.555,0
2799,2,0.61,0.47,0.175,1.214,0.5315,0.2835,0.325,0
3176,2,0.565,0.455,0.15,0.9795,0.444,0.205,0.275,0
1009,1,0.47,0.365,0.1,0.411,0.175,0.0855,0.135,0
1822,2,0.35,0.265,0.11,0.2965,0.1365,0.063,0.085,0
455,1,0.45,0.345,0.135,0.443,0.1975,0.0875,0.1175,0
3627,0,0.625,0.48,0.155,1.2035,0.5865,0.239,0.3185,0
2528,0,0.37,0.295,0.1,0.2685,0.1165,0.056,0.0835,0
912,2,0.575,0.455,0.135,0.907,0.4245,0.197,0.26,0
743,1,0.41,0.305,0.09,0.3535,0.157,0.0745,0.1,0
2999,1,0.53,0.395,0.115,0.475,0.2025,0.101,0.148,0
613,2,0.57,0.44,0.155,1.116,0.4775,0.2315,0.27,0
2382,1,0.255,0.185,0.065,0.074,0.0305,0.0165,0.02,0
2398,1,0.525,0.4,0.11,0.6275,0.3015,0.126,0.18,0
3798,0,0.625,0.42,0.165,1.0595,0.358,0.165,0.445,0
1318,0,0.605,0.505,0.18,1.434,0.7285,0.264,0.431,0
3120,2,0.455,0.355,0.135,0.4745,0.1865,0.0935,0.168,0
169,0,0.485,0.395,0.16,0.66,0.2475,0.128,0.235,0
872,1,0.45,0.34,0.12,0.4925,0.241,0.1075,0.12,0
1232,1,0.45,0.335,0.11,0.4195,0.181,0.085,0.1345,0
3418,0,0.485,0.365,0.12,0.5885,0.27,0.131,0.175,0
3649,0,0.475,0.365,0.115,0.566,0.281,0.117,0.1335,0
1554,0,0.675,0.51,0.185,1.473,0.6295,0.3025,0.4245,0
3349,0,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,0
263,1,0.265,0.205,0.07,0.1055,0.039,0.041,0.035,0
3362,2,0.625,0.465,0.14,1.195,0.4825,0.205,0.4,0
1077,2,0.61,0.48,0.165,1.244,0.6345,0.257,0.305,0
1764,1,0.46,0.335,0.11,0.444,0.225,0.0745,0.11,0
1388,0,0.74,0.565,0.205,2.119,0.9655,0.5185,0.482,0
3247,0,0.64,0.49,0.18,1.36,0.653,0.347,0.305,0
1583,1,0.415,0.325,0.11,0.316,0.1385,0.0795,0.0925,0
2785,1,0.51,0.405,0.13,0.599,0.3065,0.1155,0.1485,0
3242,2,0.515,0.39,0.12,0.6125,0.302,0.1365,0.1415,0
1696,2,0.55,0.44,0.135,0.879,0.368,0.2095,0.265,0
2348,2,0.67,0.525,0.195,1.4405,0.6595,0.2675,0.425,0
1556,2,0.685,0.535,0.155,1.3845,0.6615,0.2145,0.4075,0
1530,2,0.625,0.505,0.185,1.1565,0.52,0.2405,0.3535,0
1270,1,0.54,0.42,0.14,0.6275,0.2505,0.1175,0.235,0
3152,0,0.525,0.415,0.15,0.7155,0.2355,0.171,0.27,0
2788,2,0.535,0.42,0.16,0.7465,0.348,0.1515,0.2185,0
3039,0,0.45,0.365,0.115,0.5885,0.318,0.121,0.1325,0
153,0,0.505,0.41,0.15,0.644,0.285,0.145,0.21,0
3712,2,0.53,0.41,0.14,0.7545,0.3495,0.1715,0.2105,0
2620,0,0.605,0.475,0.145,1.0185,0.4695,0.225,0.27,0
3353,2,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,0
2227,2,0.72,0.55,0.205,2.165,1.1055,0.525,0.404,0
2362,0,0.535,0.4,0.15,1.224,0.618,0.275,0.2875,0
3792,1,0.4,0.31,0.1,0.127,0.106,0.071,0.085,0
1198,2,0.7,0.555,0.2,1.858,0.73,0.3665,0.595,0
1317,0,0.605,0.47,0.155,0.974,0.393,0.224,0.3345,0
1229,1,0.435,0.335,0.1,0.3295,0.129,0.07,0.11,0
750,1,0.43,0.325,0.09,0.425,0.217,0.087,0.095,0
3535,0,0.645,0.5,0.155,1.2205,0.6145,0.236,0.3185,0
1469,0,0.51,0.4,0.12,0.7005,0.347,0.1105,0.195,0
259,0,0.58,0.455,0.155,0.8365,0.315,0.1385,0.32,0
3156,1,0.465,0.355,0.12,0.5805,0.255,0.0915,0.184,0
3244,2,0.62,0.465,0.145,0.911,0.375,0.2145,0.278,0
475,1,0.575,0.455,0.18,0.8525,0.3015,0.1825,0.3,0
1031,1,0.53,0.415,0.11,0.5745,0.2525,0.1235,0.189,0
2573,2,0.41,0.325,0.12,0.3745,0.158,0.081,0.125,0
2368,1,0.595,0.43,0.165,0.9845,0.4525,0.207,0.2725,0
3305,0,0.615,0.495,0.155,1.0805,0.52,0.19,0.32,0
146,0,0.63,0.48,0.16,1.199,0.5265,0.335,0.315,0
322,0,0.515,0.415,0.14,0.6935,0.3115,0.152,0.2,0
4119,0,0.56,0.44,0.155,0.9705,0.4315,0.263,0.255,0
3067,1,0.335,0.25,0.095,0.185,0.0795,0.0495,0.055,0
731,1,0.315,0.23,0.07,0.144,0.053,0.0305,0.04,0
3569,2,0.59,0.47,0.15,0.9955,0.481,0.232,0.24,0
2776,1,0.4,0.315,0.085,0.2675,0.116,0.0585,0.0765,0
2652,1,0.635,0.48,0.2,1.3655,0.6255,0.2595,0.425,0
3199,2,0.61,0.475,0.15,1.142,0.62,0.237,0.245,0
1815,0,0.58,0.455,0.12,0.94,0.399,0.257,0.265,0
3848,2,0.4,0.315,0.105,0.287,0.1135,0.037,0.113,0
1922,1,0.335,0.24,0.095,0.17,0.062,0.039,0.055,0
1502,2,0.575,0.45,0.13,0.785,0.318,0.193,0.2265,0
3787,2,0.62,0.49,0.17,1.2105,0.5185,0.2555,0.335,0
3925,2,0.63,0.49,0.165,1.2005,0.575,0.273,0.294,0
2045,0,0.595,0.465,0.15,1.0255,0.412,0.2745,0.289,0
2548,0,0.665,0.53,0.185,1.3955,0.456,0.3205,0.49,0
2010,1,0.295,0.22,0.07,0.126,0.0515,0.0275,0.035,0
644,2,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625,0
2079,1,0.425,0.33,0.115,0.3265,0.1315,0.077,0.103,0
2264,0,0.645,0.49,0.16,1.144,0.5015,0.289,0.319,0
1088,2,0.62,0.495,0.18,1.2555,0.5765,0.254,0.355,0
2775,1,0.355,0.265,0.085,0.2435,0.122,0.0525,0.06,0
1246,1,0.49,0.375,0.115,0.4615,0.204,0.0945,0.143,0
924,2,0.605,0.48,0.17,1.1835,0.582,0.2365,0.317,0
3815,1,0.59,0.45,0.16,0.893,0.2745,0.2185,0.345,0
1021,1,0.5,0.375,0.125,0.5695,0.259,0.124,0.157,0
1221,1,0.385,0.3,0.09,0.308,0.1525,0.056,0.0835,0
3536,2,0.65,0.495,0.16,1.304,0.57,0.312,0.3725,0
1646,0,0.72,0.575,0.215,2.1,0.8565,0.4825,0.602,0
2909,1,0.475,0.35,0.125,0.4225,0.1905,0.079,0.1355,0
863,1,0.42,0.31,0.095,0.279,0.1255,0.051,0.088,0
405,0,0.49,0.38,0.145,0.6725,0.249,0.181,0.21,0
1907,0,0.465,0.36,0.12,0.4765,0.192,0.1125,0.16,0
1312,2,0.6,0.47,0.16,1.194,0.5625,0.3045,0.2635,0
1850,1,0.17,0.125,0.055,0.0235,0.009,0.0055,0.008,0
635,1,0.385,0.28,0.125,0.244,0.102,0.038,0.085,0
2864,1,0.63,0.465,0.15,1.0315,0.4265,0.24,0.325,0
1713,1,0.215,0.15,0.03,0.0385,0.0115,0.005,0.01,0
2153,1,0.36,0.26,0.08,0.1795,0.074,0.0315,0.06,0
2667,0,0.48,0.38,0.145,0.59,0.232,0.141,0.23,0
2584,0,0.655,0.51,0.16,1.092,0.396,0.2825,0.37,0
178,0,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,0
1765,0,0.46,0.36,0.115,0.4755,0.2105,0.105,0.16,0
3326,0,0.585,0.475,0.165,1.053,0.458,0.217,0.3,0
2815,1,0.26,0.205,0.07,0.097,0.0415,0.019,0.0305,0
3327,0,0.585,0.455,0.17,0.9945,0.4255,0.263,0.2845,0
693,2,0.555,0.435,0.145,0.9685,0.4985,0.168,0.2385,0
660,1,0.235,0.175,0.055,0.067,0.027,0.0125,0.018,0
2359,1,0.5,0.37,0.115,0.5745,0.306,0.112,0.141,0
2978,2,0.625,0.47,0.15,1.124,0.556,0.2315,0.287,0
71,2,0.47,0.375,0.13,0.523,0.214,0.132,0.145,0
1351,0,0.645,0.51,0.16,1.2415,0.5815,0.276,0.315,0
2664,2,0.43,0.33,0.095,0.34,0.1315,0.085,0.112,0
2505,0,0.43,0.35,0.09,0.397,0.1575,0.089,0.12,0
4102,2,0.625,0.5,0.185,1.2425,0.5995,0.248,0.335,0
191,1,0.23,0.175,0.065,0.0645,0.026,0.0105,0.02,0
3766,2,0.59,0.465,0.165,1.115,0.5165,0.273,0.275,0
1164,2,0.59,0.44,0.15,0.8725,0.387,0.215,0.245,0
1729,0,0.575,0.485,0.165,1.0405,0.419,0.264,0.3,0
1236,1,0.465,0.37,0.12,0.4365,0.188,0.0815,0.147,0
3151,0,0.53,0.4,0.165,0.772,0.2855,0.1975,0.23,0
1019,1,0.5,0.375,0.145,0.5795,0.239,0.1375,0.185,0
3697,2,0.645,0.51,0.16,1.33,0.6665,0.309,0.317,0
2124,2,0.63,0.505,0.15,1.3165,0.6325,0.2465,0.37,0
3172,1,0.45,0.35,0.135,0.494,0.2205,0.0945,0.1405,0
911,2,0.575,0.435,0.14,0.8455,0.401,0.191,0.222,0
2649,0,0.395,0.3,0.105,0.3375,0.1435,0.0755,0.098,0
3644,1,0.4,0.3,0.09,0.2815,0.1185,0.061,0.08,0
4152,2,0.645,0.51,0.165,1.403,0.5755,0.2515,0.4545,0
2830,1,0.475,0.35,0.115,0.498,0.2375,0.099,0.14,0
3372,2,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,0
1933,2,0.35,0.26,0.09,0.198,0.0725,0.056,0.06,0
63,0,0.46,0.355,0.13,0.517,0.2205,0.114,0.165,0
1076,2,0.61,0.45,0.15,0.871,0.407,0.1835,0.25,0
1958,2,0.52,0.4,0.165,0.8565,0.2745,0.201,0.21,0
1902,0,0.505,0.38,0.145,0.651,0.2935,0.19,0.17,0
640,0,0.505,0.39,0.16,0.644,0.2475,0.2025,0.1635,0
2425,0,0.635,0.505,0.165,1.251,0.577,0.227,0.3825,0
429,0,0.5,0.375,0.14,0.604,0.242,0.1415,0.179,0
1432,2,0.65,0.485,0.16,1.7395,0.5715,0.2785,0.3075,0
3100,0,0.61,0.49,0.17,1.1775,0.5655,0.2385,0.295,0
3410,0,0.585,0.45,0.16,1.077,0.4995,0.2875,0.25,0
2953,2,0.66,0.51,0.18,1.261,0.5,0.2335,0.339,0
3194,2,0.52,0.395,0.125,0.5815,0.2565,0.1265,0.17,0
3976,0,0.52,0.43,0.15,0.728,0.302,0.1575,0.235,0
3400,0,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095,0
1871,0,0.405,0.325,0.11,0.3575,0.145,0.0725,0.11,0
1360,0,0.655,0.505,0.19,1.3485,0.5935,0.2745,0.425,0
3351,0,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,0
115,2,0.59,0.475,0.145,1.053,0.4415,0.262,0.325,0
1450,1,0.405,0.3,0.09,0.269,0.103,0.067,0.11,0
1604,1,0.255,0.19,0.06,0.086,0.04,0.0185,0.025,0
2312,1,0.59,0.475,0.145,0.9745,0.4675,0.207,0.259,0
905,2,0.565,0.435,0.15,0.99,0.5795,0.1825,0.206,0
793,0,0.56,0.455,0.16,0.967,0.4525,0.207,0.274,0
746,1,0.42,0.32,0.115,0.376,0.169,0.092,0.1,0
1249,1,0.495,0.4,0.105,0.602,0.2505,0.1265,0.19,0
862,1,0.42,0.32,0.11,0.3625,0.174,0.0635,0.105,0
2845,1,0.575,0.455,0.155,0.8725,0.349,0.2095,0.285,0
2335,2,0.63,0.51,0.17,1.1885,0.4915,0.3065,0.348,0
3248,1,0.37,0.275,0.08,0.2325,0.093,0.056,0.072,0
1950,0,0.615,0.47,0.175,1.2985,0.5135,0.343,0.32,0
2839,1,0.54,0.41,0.135,0.7025,0.31,0.177,0.2,0
1675,2,0.32,0.24,0.08,0.18,0.08,0.0385,0.055,0
1139,2,0.45,0.335,0.125,0.4475,0.2165,0.126,0.11,0
4100,0,0.575,0.46,0.15,0.927,0.333,0.207,0.2985,0
2832,1,0.5,0.365,0.125,0.528,0.229,0.103,0.1645,0
1928,2,0.5,0.355,0.14,0.528,0.2125,0.149,0.14,0
3036,1,0.32,0.23,0.06,0.129,0.0615,0.0275,0.0355,0
1581,1,0.395,0.29,0.095,0.3,0.158,0.068,0.078,0
3826,1,0.395,0.325,0.105,0.306,0.111,0.0735,0.095,0
2237,1,0.375,0.285,0.09,0.2545,0.119,0.0595,0.0675,0
1010,1,0.475,0.355,0.1,0.5035,0.2535,0.091,0.14,0
3853,0,0.55,0.435,0.17,0.884,0.2875,0.1645,0.28,0
1785,0,0.58,0.455,0.16,0.9215,0.312,0.196,0.3,0
1821,0,0.435,0.35,0.11,0.384,0.143,0.1005,0.125,0
1386,0,0.725,0.565,0.21,2.1425,1.03,0.487,0.503,0
848,1,0.195,0.15,0.045,0.0375,0.018,0.006,0.011,0
409,2,0.28,0.2,0.08,0.0915,0.033,0.0215,0.03,0
2014,1,0.37,0.29,0.08,0.2545,0.108,0.0565,0.07,0
1032,1,0.53,0.425,0.13,0.7675,0.419,0.1205,0.21,0
2844,0,0.57,0.42,0.16,0.8875,0.4315,0.1915,0.223,0
3473,2,0.59,0.44,0.15,0.9555,0.366,0.2425,0.295,0
1568,1,0.28,0.2,0.065,0.0895,0.036,0.0185,0.03,0
2951,2,0.65,0.525,0.19,1.3685,0.5975,0.296,0.4,0
2182,1,0.525,0.385,0.13,0.607,0.2355,0.125,0.195,0
3114,2,0.445,0.345,0.14,0.476,0.2055,0.1015,0.1085,0
2961,0,0.705,0.53,0.17,1.564,0.612,0.394,0.44,0
2894,0,0.665,0.5,0.175,1.4355,0.643,0.345,0.37,0
311,2,0.545,0.425,0.135,0.8445,0.373,0.21,0.235,0
2123,2,0.625,0.48,0.145,1.085,0.4645,0.2445,0.327,0
3726,1,0.515,0.415,0.135,0.7125,0.285,0.152,0.245,0
1883,1,0.515,0.375,0.14,0.6505,0.2495,0.141,0.2215,0
2895,0,0.67,0.525,0.195,1.42,0.573,0.368,0.3905,0
788,2,0.53,0.405,0.125,0.6515,0.2715,0.1605,0.186,0
2676,1,0.435,0.34,0.11,0.407,0.1685,0.073,0.13,0
1997,0,0.655,0.545,0.165,1.6225,0.6555,0.299,0.513,0
3275,0,0.635,0.5,0.175,1.477,0.684,0.3005,0.39,0
2297,1,0.55,0.435,0.165,0.804,0.34,0.194,0.244,0
2735,0,0.65,0.545,0.185,1.5055,0.6565,0.341,0.43,0
894,1,0.54,0.42,0.14,0.6665,0.3125,0.138,0.1895,0
1028,1,0.525,0.4,0.125,0.6965,0.369,0.1385,0.164,0
2293,2,0.52,0.465,0.15,0.9505,0.456,0.199,0.255,0
346,2,0.545,0.42,0.14,0.7505,0.2475,0.13,0.255,0
3514,1,0.45,0.355,0.105,0.4445,0.197,0.093,0.1335,0
1707,1,0.38,0.28,0.085,0.2735,0.115,0.061,0.085,0
3532,2,0.63,0.485,0.155,1.278,0.637,0.275,0.31,0
1810,0,0.535,0.45,0.135,0.8075,0.322,0.181,0.25,0
4110,2,0.575,0.45,0.16,0.955,0.44,0.1685,0.27,0
1807,1,0.34,0.26,0.09,0.179,0.076,0.0525,0.055,0
4029,1,0.485,0.37,0.1,0.513,0.219,0.1075,0.13,0
3597,1,0.47,0.355,0.18,0.48,0.2055,0.105,0.1505,0
668,1,0.37,0.275,0.14,0.2215,0.097,0.0455,0.0615,0
286,2,0.58,0.455,0.17,0.93,0.408,0.259,0.22,0
2434,0,0.66,0.53,0.18,1.5175,0.7765,0.302,0.401,0
1110,0,0.66,0.495,0.21,1.548,0.724,0.3525,0.3925,0
3014,1,0.59,0.45,0.125,0.86,0.437,0.1515,0.245,0
3924,2,0.6,0.475,0.175,1.11,0.5105,0.256,0.285,0
3487,2,0.46,0.34,0.135,0.495,0.1655,0.117,0.185,0
646,2,0.58,0.465,0.16,1.0345,0.315,0.26,0.3635,0
2426,0,0.635,0.49,0.155,1.145,0.4775,0.3035,0.3155,0
2886,0,0.61,0.49,0.17,1.3475,0.7045,0.25,0.3045,0
3844,1,0.625,0.465,0.155,0.972,0.404,0.1845,0.35,0
3731,1,0.545,0.43,0.14,0.687,0.2615,0.1405,0.25,0
3895,0,0.545,0.43,0.14,0.832,0.4355,0.17,0.201,0
749,1,0.425,0.315,0.1,0.377,0.1645,0.072,0.105,0
806,0,0.595,0.47,0.155,1.121,0.4515,0.178,0.155,0
2036,2,0.53,0.41,0.14,0.681,0.3095,0.1415,0.1835,0
3087,1,0.32,0.235,0.065,0.1385,0.058,0.0225,0.05,0
3062,0,0.46,0.365,0.115,0.4485,0.165,0.083,0.17,0
3044,0,0.61,0.49,0.17,1.137,0.4605,0.2825,0.344,0
2419,0,0.61,0.495,0.16,1.089,0.469,0.198,0.384,0
3499,0,0.595,0.48,0.16,1.2095,0.5225,0.296,0.32,0
2675,0,0.455,0.36,0.11,0.4385,0.206,0.098,0.125,0
3727,2,0.515,0.385,0.11,0.5785,0.253,0.16,0.14,0
144,0,0.63,0.48,0.15,1.0525,0.392,0.336,0.285,0
1391,2,0.77,0.62,0.195,2.5155,1.1155,0.6415,0.642,0
1105,2,0.65,0.51,0.19,1.542,0.7155,0.3735,0.375,0
3879,1,0.44,0.335,0.11,0.3885,0.175,0.0835,0.111,0
312,0,0.455,0.37,0.105,0.4925,0.216,0.1245,0.135,0
1188,0,0.655,0.54,0.215,1.5555,0.695,0.296,0.444,0
941,0,0.66,0.53,0.185,1.346,0.546,0.2705,0.476,0
3497,0,0.575,0.465,0.14,0.958,0.442,0.1815,0.2705,0
3620,2,0.59,0.47,0.18,1.187,0.5985,0.227,0.31,0
2478,2,0.575,0.45,0.135,0.9215,0.354,0.209,0.2365,0
3065,0,0.425,0.35,0.1,0.4425,0.175,0.0755,0.175,0
1725,2,0.47,0.37,0.135,0.547,0.222,0.1325,0.17,0
3934,1,0.53,0.38,0.125,0.616,0.292,0.113,0.185,0
1534,2,0.63,0.49,0.155,1.2525,0.63,0.246,0.289,0
2903,1,0.44,0.32,0.095,0.3275,0.1495,0.059,0.1,0
2691,2,0.455,0.345,0.125,0.44,0.169,0.1065,0.135,0
344,2,0.6,0.47,0.155,1.036,0.4375,0.196,0.325,0
3290,0,0.64,0.505,0.175,1.3185,0.6185,0.302,0.3315,0
253,2,0.56,0.44,0.14,0.971,0.443,0.2045,0.265,0
3516,2,0.475,0.37,0.125,0.537,0.222,0.1215,0.15,0
3694,2,0.645,0.505,0.15,1.1605,0.519,0.2615,0.335,0
991,1,0.39,0.3,0.095,0.3265,0.1665,0.0575,0.089,0
1370,2,0.67,0.52,0.165,1.39,0.711,0.2865,0.3,0
1291,1,0.575,0.45,0.125,0.78,0.3275,0.188,0.235,0
1331,2,0.62,0.515,0.175,1.221,0.535,0.241,0.395,0
747,1,0.42,0.315,0.1,0.3435,0.157,0.0795,0.09,0
2882,0,0.555,0.405,0.12,0.913,0.4585,0.196,0.2065,0
2695,0,0.46,0.33,0.15,0.5325,0.2085,0.1805,0.125,0
2847,0,0.575,0.475,0.16,0.895,0.3605,0.221,0.271,0
2523,1,0.51,0.405,0.12,0.61,0.229,0.131,0.235,0
2608,2,0.465,0.36,0.125,0.4365,0.169,0.1075,0.145,0
292,0,0.685,0.545,0.18,1.768,0.7495,0.392,0.485,0
44,2,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,0
1018,1,0.5,0.38,0.135,0.594,0.2945,0.104,0.1565,0
2223,0,0.675,0.525,0.17,1.711,0.8365,0.352,0.475,0
3612,2,0.565,0.445,0.15,0.796,0.3635,0.184,0.219,0
2640,1,0.45,0.355,0.115,0.4385,0.184,0.108,0.1125,0
1775,2,0.6,0.485,0.175,1.2675,0.4995,0.2815,0.38,0
3578,2,0.69,0.53,0.21,1.583,0.7355,0.405,0.3865,0
122,0,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,0
2575,0,0.61,0.48,0.19,1.2955,0.5215,0.3225,0.365,0
1503,2,0.575,0.45,0.155,0.9765,0.495,0.2145,0.235,0
508,2,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,0
967,1,0.31,0.225,0.07,0.1055,0.435,0.015,0.04,0
1303,1,0.59,0.45,0.145,1.022,0.428,0.268,0.265,0
717,0,0.685,0.54,0.16,1.6675,0.833,0.3775,0.475,0
2011,1,0.31,0.225,0.075,0.155,0.065,0.037,0.0365,0
3897,2,0.615,0.475,0.175,1.103,0.4635,0.3095,0.2725,0
3385,0,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,0
397,0,0.58,0.44,0.18,0.854,0.3665,0.1635,0.245,0
1892,1,0.44,0.355,0.165,0.435,0.159,0.105,0.14,0
3284,2,0.51,0.41,0.155,1.2825,0.569,0.291,0.3795,0
2071,2,0.765,0.585,0.18,2.398,1.128,0.512,0.5335,0
3121,1,0.355,0.27,0.1,0.216,0.083,0.037,0.075,0
1782,0,0.59,0.465,0.16,1.1005,0.506,0.2525,0.295,0
1407,2,0.515,0.395,0.135,1.007,0.472,0.2495,0.252,0
2627,2,0.605,0.485,0.175,1.145,0.4325,0.27,0.405,0
1459,1,0.47,0.375,0.12,0.487,0.196,0.099,0.135,0
2191,1,0.56,0.44,0.14,0.825,0.402,0.139,0.245,0
192,1,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,0
579,1,0.15,0.1,0.025,0.015,0.0045,0.004,0.005,0
467,1,0.52,0.425,0.17,0.6805,0.28,0.174,0.195,0
2907,1,0.475,0.365,0.105,0.4175,0.1645,0.099,0.127,0
604,2,0.535,0.42,0.13,0.8055,0.301,0.181,0.28,0
1362,2,0.66,0.53,0.195,1.5505,0.6505,0.3295,0.495,0
1835,0,0.415,0.305,0.105,0.3605,0.12,0.082,0.1,0
2294,0,0.535,0.445,0.125,0.8725,0.417,0.199,0.24,0
3575,0,0.62,0.48,0.16,1.1125,0.5635,0.2445,0.281,0
1206,1,0.295,0.215,0.07,0.121,0.047,0.0155,0.0405,0
3154,0,0.465,0.39,0.11,0.6355,0.1815,0.157,0.225,0
835,0,0.655,0.51,0.175,1.6525,0.8515,0.3365,0.403,0
4059,2,0.655,0.525,0.16,1.46,0.686,0.311,0.405,0
106,2,0.345,0.255,0.09,0.2005,0.094,0.0295,0.063,0
3303,2,0.585,0.45,0.15,0.997,0.4055,0.283,0.251,0
404,0,0.455,0.35,0.14,0.5185,0.221,0.1265,0.135,0
1983,1,0.47,0.37,0.11,0.5555,0.25,0.115,0.163,0
703,2,0.605,0.455,0.16,1.1035,0.421,0.3015,0.325,0
2522,2,0.45,0.355,0.12,0.3955,0.147,0.0765,0.145,0
1265,1,0.53,0.42,0.13,0.8365,0.3745,0.167,0.249,0
2993,1,0.515,0.39,0.12,0.565,0.235,0.135,0.179,0
1106,0,0.655,0.525,0.19,1.3595,0.564,0.3215,0.3985,0
1277,1,0.55,0.425,0.15,0.7665,0.339,0.176,0.21,0
521,2,0.33,0.215,0.075,0.1145,0.045,0.0265,0.035,0
396,2,0.555,0.45,0.175,0.874,0.3275,0.202,0.305,0
468,0,0.55,0.41,0.145,0.8285,0.3095,0.1905,0.25,0
