,buying,maint,doors,persons,lug_boot,safety,result
894,1,3,3,2,1,0,0
12,3,3,2,4,1,0,0
1316,0,3,2,6,0,2,0
1584,0,1,4,6,0,0,0
1134,1,1,4,2,0,0,0
949,1,3,5,2,1,1,0
898,1,3,3,2,2,1,0
1686,0,0,4,4,1,0,0
1377,0,3,5,2,0,0,0
402,3,0,4,6,2,0,0
919,1,3,4,2,0,1,0
130,3,2,2,6,1,1,0
966,1,3,5,6,1,0,0
279,3,1,4,4,0,0,0
264,3,1,3,6,1,0,0
1327,0,3,3,2,1,1,0
429,3,0,5,6,2,0,0
519,2,3,5,2,2,0,0
496,2,3,4,4,0,1,0
337,3,0,2,4,1,1,0
1139,1,1,4,2,1,2,0
652,2,1,2,2,1,1,0
11,3,3,2,4,0,2,0
547,2,2,2,2,2,1,0
1395,0,3,5,6,0,0,0
198,3,2,5,4,0,0,0
1465,0,2,4,2,2,1,0
532,2,3,5,6,0,1,0
249,3,1,3,2,2,0,0
1416,0,2,2,4,1,0,0
90,3,3,5,4,0,0,0
187,3,2,4,6,2,1,0
131,3,2,2,6,1,2,0
207,3,2,5,6,0,0,0
499,2,3,4,4,1,1,0
1590,0,1,4,6,2,0,0
462,2,3,3,2,1,0,0
354,3,0,3,2,1,0,0
1300,0,3,2,2,1,1,0
201,3,2,5,4,1,0,0
177,3,2,4,4,2,0,0
510,2,3,4,6,2,0,0
1520,0,1,2,2,2,2,0
926,1,3,4,2,2,2,0
453,2,3,2,6,1,0,0
1629,0,0,2,4,0,0,0
964,1,3,5,6,0,1,0
771,2,0,2,4,2,0,0
1644,0,0,2,6,2,0,0
586,2,2,3,6,0,1,0
1246,1,0,4,2,1,1,0
1476,0,2,4,6,0,0,0
570,2,2,3,2,1,0,0
139,3,2,3,2,1,1,0
1215,1,0,3,2,0,0,0
147,3,2,3,4,1,0,0
1473,0,2,4,4,2,0,0
559,2,2,2,6,0,1,0
1509,0,2,5,6,2,0,0
104,3,3,5,6,1,2,0
537,2,3,5,6,2,0,0
1703,0,0,5,2,0,2,0
94,3,3,5,4,1,1,0
1396,0,3,5,6,0,1,0
1489,0,2,5,2,1,1,0
703,2,1,4,2,0,1,0
710,2,1,4,2,2,2,0
1470,0,2,4,4,1,0,0
1353,0,3,4,2,1,0,0
957,1,3,5,4,1,0,0
415,3,0,5,4,0,1,0
912,1,3,3,6,1,0,0
892,1,3,3,2,0,1,0
925,1,3,4,2,2,1,0
491,2,3,4,2,1,2,0
225,3,1,2,4,0,0,0
1671,0,0,3,6,2,0,0
1655,0,0,3,2,2,2,0
1668,0,0,3,6,1,0,0
1107,1,1,3,2,0,0,0
455,2,3,2,6,1,2,0
1266,1,0,4,6,2,0,0
615,2,2,4,6,1,0,0
1674,0,0,4,2,0,0,0
1380,0,3,5,2,1,0,0
111,3,2,2,2,1,0,0
1248,1,0,4,2,2,0,0
543,2,2,2,2,1,0,0
994,1,2,2,6,1,1,0
668,2,1,2,6,0,2,0
1176,1,1,5,4,2,0,0
1209,1,0,2,6,1,0,0
886,1,3,2,6,1,1,0
161,3,2,3,6,2,2,0
129,3,2,2,6,1,0,0
1392,0,3,5,4,2,0,0
733,2,1,5,2,1,1,0
521,2,3,5,2,2,2,0
1500,0,2,5,4,2,0,0
128,3,2,2,6,0,2,0
409,3,0,5,2,1,1,0
591,2,2,3,6,2,0,0
132,3,2,2,6,2,0,0
618,2,2,4,6,2,0,0
540,2,2,2,2,0,0,0
1350,0,3,4,2,0,0,0
763,2,0,2,2,2,1,0
1423,0,2,2,6,0,1,0
22,3,3,2,6,1,1,0
1137,1,1,4,2,1,0,0
1158,1,1,4,6,2,0,0
73,3,3,4,6,0,1,0
1628,0,0,2,2,2,2,0
1296,0,3,2,2,0,0,0
31,3,3,3,2,1,1,0
1089,1,1,2,4,0,0,0
738,2,1,5,4,0,0,0
316,3,1,5,6,0,1,0
438,2,3,2,2,2,0,0
613,2,2,4,6,0,1,0
